"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US08113","San Miguel County, Colorado","8110","*****","*****","null",
"0500000US08115","Sedgwick County, Colorado","2306","*****","*****","null",
"0500000US08117","Summit County, Colorado","30735","*****","*****","null",
"0500000US08119","Teller County, Colorado","24981","*****","*****","null",
"0500000US08121","Washington County, Colorado","4869","*****","*****","null",
"0500000US08123","Weld County, Colorado","315389","*****","*****","null",
"0500000US08125","Yuma County, Colorado","10013","*****","*****","null",
"0500000US09001","Fairfield County, Connecticut","944306","*****","*****","null",
"0500000US09003","Hartford County, Connecticut","892153","*****","*****","null",
"0500000US09005","Litchfield County, Connecticut","181143","*****","*****","null",
"0500000US09007","Middlesex County, Connecticut","162742","*****","*****","null",
"0500000US09009","New Haven County, Connecticut","855733","*****","*****","null",
"0500000US09011","New London County, Connecticut","266868","*****","*****","null",
"0500000US09013","Tolland County, Connecticut","150947","*****","*****","null",
"0500000US09015","Windham County, Connecticut","116657","*****","*****","null",
"0500000US10001","Kent County, Delaware","179124","*****","*****","null",
"0500000US10003","New Castle County, Delaware","558306","*****","*****","null",
"0500000US10005","Sussex County, Delaware","230249","*****","*****","null",
"0500000US11001","District of Columbia, District of Columbia","701974","*****","*****","null",
"0500000US12001","Alachua County, Florida","268105","*****","*****","null",
"0500000US12003","Baker County, Florida","28679","*****","*****","null",
"0500000US12005","Bay County, Florida","180076","*****","*****","null",
"0500000US12007","Bradford County, Florida","27723","*****","*****","null",
"0500000US12009","Brevard County, Florida","594001","*****","*****","null",
"0500000US12011","Broward County, Florida","1942273","*****","*****","null",
"0500000US12013","Calhoun County, Florida","14324","*****","*****","null",
"0500000US12015","Charlotte County, Florida","185926","*****","*****","null",
"0500000US12017","Citrus County, Florida","147938","*****","*****","null",
"0500000US12019","Clay County, Florida","215294","*****","*****","null",
"0500000US12021","Collier County, Florida","379345","*****","*****","null",
"0500000US12023","Columbia County, Florida","70898","*****","*****","null",
"0500000US12027","DeSoto County, Florida","37371","*****","*****","null",
"0500000US12029","Dixie County, Florida","16740","*****","*****","null",
"0500000US12031","Duval County, Florida","948651","*****","*****","null",
"0500000US12033","Escambia County, Florida","316691","*****","*****","null",
"0500000US12035","Flagler County, Florida","112854","*****","*****","null",
"0500000US12037","Franklin County, Florida","11914","*****","*****","null",
"0500000US12039","Gadsden County, Florida","45787","*****","*****","null",
"0500000US12041","Gilchrist County, Florida","18245","*****","*****","null",
"0500000US12043","Glades County, Florida","13777","*****","*****","null",
"0500000US12045","Gulf County, Florida","15073","*****","*****","null",
"0500000US12047","Hamilton County, Florida","14397","*****","*****","null",
"0500000US12049","Hardee County, Florida","27027","*****","*****","null",
"0500000US12051","Hendry County, Florida","41472","*****","*****","null",
"0500000US12053","Hernando County, Florida","190700","*****","*****","null",
"0500000US12055","Highlands County, Florida","104574","*****","*****","null",
"0500000US12057","Hillsborough County, Florida","1451358","*****","*****","null",
"0500000US12059","Holmes County, Florida","19530","*****","*****","null",
"0500000US12061","Indian River County, Florida","156964","*****","*****","null",
"0500000US12063","Jackson County, Florida","47409","*****","*****","null",
"0500000US12065","Jefferson County, Florida","14278","*****","*****","null",
"0500000US12067","Lafayette County, Florida","8576","*****","*****","null",
"0500000US12069","Lake County, Florida","356115","*****","*****","null",
"0500000US12071","Lee County, Florida","756570","*****","*****","null",
"0500000US12073","Leon County, Florida","291863","*****","*****","null",
"0500000US12075","Levy County, Florida","40979","*****","*****","null",
"0500000US12077","Liberty County, Florida","8333","*****","*****","null",
"0500000US12079","Madison County, Florida","18557","*****","*****","null",
"0500000US12081","Manatee County, Florida","393847","*****","*****","null",
"0500000US12083","Marion County, Florida","360210","*****","*****","null",
"0500000US12085","Martin County, Florida","160420","*****","*****","null",
"0500000US12086","Miami-Dade County, Florida","2705528","*****","*****","null",
"0500000US12087","Monroe County, Florida","75137","*****","*****","null",
"0500000US12089","Nassau County, Florida","85762","*****","*****","null",
"0500000US12091","Okaloosa County, Florida","207430","*****","*****","null",
"0500000US12093","Okeechobee County, Florida","41611","*****","*****","null",
"0500000US12095","Orange County, Florida","1373784","*****","*****","null",
"0500000US12097","Osceola County, Florida","363666","*****","*****","null",
"0500000US12099","Palm Beach County, Florida","1482057","*****","*****","null",
"0500000US12101","Pasco County, Florida","539885","*****","*****","null",
"0500000US12103","Pinellas County, Florida","970985","*****","*****","null",
"0500000US12105","Polk County, Florida","705735","*****","*****","null",
"0500000US12107","Putnam County, Florida","73784","*****","*****","null",
"0500000US12109","St. Johns County, Florida","255410","*****","*****","null",
"0500000US12111","St. Lucie County, Florida","320914","*****","*****","null",
"0500000US12113","Santa Rosa County, Florida","179587","*****","*****","null",
"0500000US12115","Sarasota County, Florida","427766","*****","*****","null",
"0500000US12117","Seminole County, Florida","466695","*****","*****","null",
"0500000US12119","Sumter County, Florida","129938","*****","*****","null",
"0500000US12121","Suwannee County, Florida","44290","*****","*****","null",
"0500000US12123","Taylor County, Florida","21709","*****","*****","null",
"0500000US12125","Union County, Florida","15282","*****","*****","null",
"0500000US12127","Volusia County, Florida","546107","*****","*****","null",
"0500000US12129","Wakulla County, Florida","32855","*****","*****","null",
"0500000US12131","Walton County, Florida","71049","*****","*****","null",
"0500000US12133","Washington County, Florida","25094","*****","*****","null",
"0500000US13001","Appling County, Georgia","18428","*****","*****","null",
"0500000US13003","Atkinson County, Georgia","8311","*****","*****","null",
"0500000US13005","Bacon County, Georgia","11140","*****","*****","null",
"0500000US13007","Baker County, Georgia","3090","*****","*****","null",
"0500000US13009","Baldwin County, Georgia","45072","*****","*****","null",
"0500000US13011","Banks County, Georgia","18900","21","null","null",
"0500000US13013","Barrow County, Georgia","81294","*****","*****","null",
"0500000US13015","Bartow County, Georgia","106456","*****","*****","null",
"0500000US13017","Ben Hill County, Georgia","16889","*****","*****","null",
"0500000US13019","Berrien County, Georgia","19206","*****","*****","null",
"0500000US13021","Bibb County, Georgia","153026","*****","*****","null",
"0500000US13023","Bleckley County, Georgia","12870","*****","*****","null",
"0500000US13025","Brantley County, Georgia","18924","*****","*****","null",
"0500000US13027","Brooks County, Georgia","15548","*****","*****","null",
"0500000US13029","Bryan County, Georgia","38321","*****","*****","null",
"0500000US13031","Bulloch County, Georgia","77719","*****","*****","null",
"0500000US13033","Burke County, Georgia","22567","*****","*****","null",
"0500000US13035","Butts County, Georgia","24463","*****","*****","null",
"0500000US13037","Calhoun County, Georgia","6301","*****","*****","null",
"0500000US13039","Camden County, Georgia","53960","*****","*****","null",
"0500000US13043","Candler County, Georgia","10834","*****","*****","null",
"0500000US13045","Carroll County, Georgia","118692","*****","*****","null",
"0500000US13047","Catoosa County, Georgia","67181","*****","*****","null",
"0500000US13049","Charlton County, Georgia","13032","*****","*****","null",
"0500000US13051","Chatham County, Georgia","289649","*****","*****","null",
"0500000US13053","Chattahoochee County, Georgia","10470","*****","*****","null",
